Adresse,Prix,Ville,Région,Chambres,Salles de bain,Salles d'eau,Étages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
"1-209, rue Lavigueur",449 000 $,St-Jean-Baptiste,Québec Rive-Nord,2,1,1,1,1 260 pi² (117.06 m²),2 335 pi² (216.93 m²),,,"1 380,00 $",
"8240, Le Trait-Carré Ouest",449 000 $,Charlesbourg,Québec Rive-Nord,4,2,,2,2 080 pi² (193.24 m²),4 285.97 pi² (398.18 m²),"3 052,30 $","434,18 $","2 411,00 $","1 017,00 $"
"560, rue Émile-Nelligan",749 000 $,Boisbriand,Laurentides,4,2,1,2,2 000 pi² (185.81 m²),8 175.19 pi² (759.5 m²),"3 653,00 $","413,00 $","2 684,00 $","1 900,00 $"
"1201, rue Daniel",458 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),3,2,,1,875 pi² (81.29 m²),3 955 pi² (367.43 m²),"2 271,19 $","225,15 $","1 947,00 $",
"X, CH DU LAC-LA SALLE",180 000 $,Val-Morin,Laurentides,,,,,,72 462 pi² (6 731.94 m²),,,,
"21, rue Dextradeur",430 000 $,St-Jean-sur-Richelieu (St-Luc),Montérégie (Rive-Sud Montréal),4,2,,1,900 pi² (83.61 m²),60.01x100.00 pi (18.29x30.48 m),"2 407,00 $","350,00 $","2 120,00 $",
"7, RUE DES SAPINS",398 000 $,La Durantaye,Chaudière-Appalaches,4,1,,2,1 931 pi² (179.4 m²),44 518.46 pi² (4 135.9 m²),"2 180,52 $","195,48 $",,
Rue des Monts,700 000 $,St-Mathieu-De-Beloeil,Montérégie (Rive-Sud Montréal),4,2,1,2,1 500 pi² (139.35 m²),50x100 pi (15.24x30.48 m),,,,
rue des Sables,380 900 $,Ste-Catherine-de-la-JC,Québec Rive-Nord,5,2,1,2,,5 000 pi² (464.52 m²),,,,
rue Irène-Paquet,364 600 $,Ste-Catherine-de-la-JC,Québec Rive-Nord,5,3,2,2,,9 500 pi² (882.58 m²),,,,
rue Robert-Laplante,358 888 $,Ste-Catherine-de-la-JC,Québec Rive-Nord,5,1,1,1,,10 000 pi² (929.03 m²),,,,
rue de la Création,359 900 $,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,3,1,1,2,1 490 pi² (138.43 m²),5 000 pi² (464.52 m²),,,,
"155-157-159, avenue Ménard",299 000 $,Roberval,Saguenay-Lac-Saint-Jean,7,3,,,,4 520 pi² (419.92 m²),"3 150,17 $","102,43 $","2 028,00 $","1 200,00 $"
"822, rue John-F.-Kennedy",484 950 $,Berthierville,Lanaudière,5,2,,1,1 087.15 pi² (101 m²),7 500.29 pi² (696.8 m²),"2 045,49 $","147,02 $","2 135,51 $","1 072,92 $"
"14, MONTEE DU PONT-BLEU",750 000 $,Mille-Isles,Laurentides,4,2,1,2,2 000 pi² (185.81 m²),60 000 pi² (5 574.18 m²),"4 086,00 $","433,00 $","2 706,00 $",
"1-6600, rue de Chambéry",424 900 $,Brossard,Montérégie (Rive-Sud Montréal),2,1,,1,931 pi² (86.49 m²),,"1 756,00 $","212,40 $","756,00 $",
"7275-7277, rue de Pontoise",980 000 $,Saint-Léonard,Montréal / l'Île,7,3,,,,3 860 pi² (358.61 m²),"4 340,00 $","486,00 $","1 200,00 $","2 944,00 $"
"208-3775, rue Le Marié",245 000 $,Ste-Foy,Québec Rive-Nord,2,1,,1,916 pi² (85.1 m²),,"2 126,00 $","160,00 $","750,00 $",
"41, rue de Provence",390 000 $,Gatineau (Gatineau),Outaouais,3,2,,1,1 025 pi² (95.23 m²),60.01x100.00 pi (18.29x30.48 m),"3 086,88 $","216,01 $","1 172,35 $","1 200,00 $"
"903, avenue Hartland",1 129 000 $,Outremont,Montréal / l'Île,4,2,,1,1 932 pi² (179.49 m²),3 656 pi² (339.65 m²),"5 948,00 $","771,65 $","731,00 $","1 241,00 $"
"7505, rue des Violettes",649 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),4,2,,2,1 625 pi² (150.97 m²),4 843 pi² (449.93 m²),"3 840,00 $","367,00 $","2 800,00 $","600,00 $"
"25, rue des Cormiers",395 000 $,St-Apollinaire,Chaudière-Appalaches,3,1,1,2,1 364 pi² (126.72 m²),4 359.38 pi² (405 m²),,,,
"301-560, rue des Voltigeurs",399 900 $,Saint-Roch,Québec Rive-Nord,2,1,,2,1 280 pi² (118.92 m²),,"3 414,00 $","286,00 $","1 127,00 $","672,00 $"
"2725, rue du Gouverneur",469 000 $,Drummondville (Drummondville),Centre-du-Québec,4,2,,1,1 050 pi² (97.55 m²),5 812 pi² (539.95 m²),"2 703,00 $","266,00 $","2 575,00 $",
"12, chemin de l'Éléphant",289 000 $,Canton de Stanstead,Estrie,,,,,,217 800 pi² (20 234.28 m²),"588,50 $","86,53 $",,
"3-18, rue Monseigneur-de-Laval",257 000 $,Vieux-Québec,Québec Rive-Nord,1,1,,1,713 pi² (66.24 m²),,"2 112,07 $","147,57 $","1 280,00 $",
"3370, RUE DU CERF",1 294 000 $,Sherbrooke (Fleurimont),Estrie,4,3,1,3,3 132 pi² (290.97 m²),223 857 pi² (20 797 m²),"5 989,80 $","531,62 $","3 498,30 $","3 250,00 $"
"7049, AV BALDWIN",729 000 $,Anjou,Montréal / l'Île,3,2,1,2,1 280 pi² (118.92 m²),2 140 pi² (198.81 m²),"3 822,61 $","424,07 $","1 418,02 $",
"762, RUE DE CHATEAUFORT",589 000 $,Sherbrooke (Rock Forest),Estrie,4,1,1,2,1 740 pi² (161.65 m²),6 500 pi² (603.87 m²),"3 096,57 $",,"3 228,00 $",
", Avenue Beaudoin","9,75 $",St-Raphael-de-Bellechasse,Chaudière-Appalaches,,,,,,53 327 pi² (4 954.24 m²),"1 692,00 $","103,00 $",,
"5649, avenue Royale",289 000 $,Boischatel,Québec Rive-Nord,3,1,,1,26.87x29.10 pi (8.19x8.87 m),65 700 pi² (6 103.73 m²),,"227,10 $",,
", rue des Cimes",197 000 $,Shefford,Estrie,,,,,,64 635.13 pi² (6 004.8 m²),"740,00 $","75,00 $",,
"6051, rue des Pluviers",295 000 $,Contrecoeur,Montérégie (Rive-Sud Montréal),2,1,,1,27.89x34.45 pi (8.5x10.5 m),2 814.76 pi² (261.5 m²),"2 279,64 $","120,87 $","1 300,00 $","521,00 $"
"14125, rue de Montigny",525 000 $,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,3,1,1,2,20.14x24.70 pi (6.14x7.53 m),98.00x76.97 pi (29.87x23.46 m),"2 130,00 $","257,00 $",,
"154, chemin du Lac-de-l'Achigan",115 000 $,St-Hippolyte,Laurentides,,,,,,25 375 pi² (2 357.41 m²),"234,00 $","10,00 $",,
"425, chemin Saint-Léon",45 000 $,Rimouski (Ste-Odile-Sur-Rimouski),Bas-Saint-Laurent,,,,,,64 583.46 pi² (6 000 m²),"330,99 $","10,05 $",,
"403, Rue Joseph-Couvrette",1 185 000 $,L'île-Bizard / Sainte-Geneviève,Montréal / l'Île,5,3,1,2,3 200 pi² (297.29 m²),7 500 pi² (696.77 m²),"5 757,00 $","323,00 $","2 850,00 $",
"1742, avenue de Clignancourt",915 000 $,St-Jérôme (St-Jérôme),Laurentides,4,2,1,2,2 351.54 pi² (218.47 m²),6 534 pi² (607.03 m²),"3 860,55 $","298,49 $",,
"1729, rue Lafortune",425 000 $,L'Ancienne-Lorette,Québec Rive-Nord,3,2,,1,1 000 pi² (92.9 m²),5 383 pi² (500.1 m²),"2 850,00 $","234,00 $","3 455,00 $",
"3-26, rue Lockwell",371 000 $,St-Jean-Baptiste,Québec Rive-Nord,2,1,,1,962.29 pi² (89.4 m²),,"3 146,00 $","255,00 $","2 100,00 $","756,00 $"
"x, chemin du Bord-de-L'Eau",165 000 $,Lac-Beauport,Québec Rive-Nord,,,,,,20 933.65 pi² (1 944.8 m²),,,,
"287, chemin Saint-Cyr",969 000 $,Cleveland,Estrie,3,2,,2,1 560 pi² (144.93 m²),1 787 691 pi² (166 081.93 m²),"2 516,83 $","303,71 $","1 573,61 $","1 260,04 $"
"45, RUE DANSEREAU",587 000 $,Verchères,Montérégie (Rive-Sud Montréal),4,2,,2,1 800 pi² (167.23 m²),7 111.72 pi² (660.7 m²),"3 115,04 $","347,85 $","2 542,20 $","778,00 $"
"3-6110, RUE BERNARD-RACICOT",374 900 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),2,1,,1,993.15 pi² (92.27 m²),,"2 057,59 $","200,47 $","677,89 $","442,44 $"
"1022, boulevard du Lac",549 000 $,Lac-Beauport,Québec Rive-Nord,4,2,,1,1 010 pi² (93.83 m²),15 450 pi² (1 435.35 m²),"4 225,00 $",,,
"7137, rue Alexandra",2 200 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,5,3,,,,2 000 pi² (185.81 m²),"5 912,00 $",,,"1 195,00 $"
2170 Rue de la Fileuse,489 900 $,St-Jérôme (St-Jérôme),Laurentides,3,1,1,1,1 938 pi² (180.05 m²),,,,,
"X, chemin de la Vallée",170 000 $,Sutton,Estrie,,,,,,27 425 pi² (2 547.87 m²),,,,
Unité 806 - 3480 boulevard St-Elzéar Ouest,478 763 $,Chomedey,Laval,2,1,,1,989 pi² (91.88 m²),,,,,
"152, rue des Jacinthes",719 000 $,St-Joseph-Du-Lac,Laurentides,4,1,1,1,1 400 pi² (130.06 m²),12 800 pi² (1 189.16 m²),"3 066,00 $","360,00 $","1 800,00 $","1 000,00 $"
"351, avenue Saint-Denis",282 000 $,Donnacona,Portneuf,2,1,,1,1 220 pi² (113.34 m²),98x75 pi (29.87x22.86 m),"2 536,00 $","192,00 $","2 208,00 $",
"22, 1re rue de la Montagne",535 000 $,Pont-Rouge,Portneuf,2,2,,2,1 399.31 pi² (130 m²),146 292.31 pi² (13 591 m²),"2 598,00 $","435,19 $","1 313,00 $",
"45, rue des Abeilles",79 000 $,St-Ferréol-les-Neiges,Québec Rive-Nord,,,,,,20 115 pi² (1 868.74 m²),,,,
"7065, RUE LOUIS-HEMON",850 000 $,Villeray / St-Michel / Parc-Extension,Montréal / l'Île,3,1,1,2,1 064 pi² (98.85 m²),3 393 pi² (315.22 m²),"4 672,62 $","294,20 $",,"1 410,46 $"
"550, 10e Avenue",1 200 000 $,Senneterre,Abitibi-Témiscamingue,16,,,,,29 850 pi² (2 773.16 m²),"19 548,00 $","660,00 $","18 000,00 $","17 000,00 $"
"1247, rue Roger-Gervais",179 900 $,St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),Montérégie (Rive-Sud Montréal),,,,,,4 930 pi² (458.01 m²),,,,
"125, rue Fort-de-Beaumont",680 000 $,Beaumont,Chaudière-Appalaches,3,1,1,2,2 380 pi² (221.11 m²),7 436 pi² (690.83 m²),,,,
"25, chemin Corriveau",675 000 $,Kingsey Falls,Centre-du-Québec,3,1,1,2,986 pi² (91.6 m²),426.51x10 498.69 pi (130x3 200 m),"3 667,47 $","415,92 $",,"4 500,00 $"
"891, rue Philippe-Méthé",460 000 $,Ste-Foy,Québec Rive-Nord,5,3,1,1,1 175 pi² (109.16 m²),6 485 pi² (602.48 m²),"3 898,87 $","292,22 $","2 400,00 $","1 320,00 $"
"1586, chemin Rozon",460 000 $,Wentworth-Nord,Laurentides,3,2,1,2,1 399.31 pi² (130 m²),43 000 pi² (3 994.83 m²),"2 136,00 $","186,00 $","3 000,00 $","936,00 $"
"431, chemin Wexford",450 000 $,Shannon,Québec Rive-Nord,4,2,,1,1 182 pi² (109.81 m²),21 523 pi² (1 999.55 m²),,,,
"147, Rue Brillon",3 300 000 $,Beloeil,Montérégie (Rive-Sud Montréal),,,,,,18 862 pi² (1 752.34 m²),"18 937,00 $","1 026,00 $","13 790,00 $","12 000,00 $"
"900, avenue André-Leclerc",624 900 $,St-Côme,Lanaudière,3,2,1,2,1 850 pi² (171.87 m²),45 182 pi² (4 197.55 m²),"3 970,77 $","300,56 $","2 700,00 $",
"201-2303, avenue de la Salle",363 000 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,1,1,1,1,583 pi² (54.16 m²),,,,,
"2533, chemin Saint-Louis",499 500 $,Sillery,Québec Rive-Nord,6,2,,1,1 204 pi² (111.86 m²),7 170 pi² (666.11 m²),"3 950,72 $","317,20 $",,
"86, route du Massif du Sud",105 000 $,St-Philémon,Chaudière-Appalaches,,,,,,11 055 pi² (1 027.04 m²),"1 677,50 $",,,
"302-1240, rue Conefroy",284 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),2,1,,1,847.44 pi² (78.73 m²),,,,,
"220, des Herons",455 000 $,St-Eustache,Laurentides,2,1,1,2,1 625 pi² (150.97 m²),1 683.48 pi² (156.4 m²),"2 807,06 $","255,08 $","1 242,36 $","556,99 $"
"165, des pins",395 000 $,St-Liboire,Montérégie (Rive-Sud Montréal),4,1,1,1,1 259.38 pi² (117 m²),21 673.13 pi² (2 013.5 m²),"2 307,09 $","239,77 $","2 000,00 $",
"301-2405, Place des Tilleuls",640 000 $,St-Bruno-De-Montarville,Montérégie (Rive-Sud Montréal),2,2,1,1,1 165 pi² (108.23 m²),,"3 169,00 $","363,00 $","1 300,00 $","500,00 $"
"76-1775, RUE DUNANT",362 000 $,St-Bruno-De-Montarville,Montérégie (Rive-Sud Montréal),3,1,1,3,1 001.04 pi² (93 m²),,"2 067,72 $","211,43 $","540,00 $",
"602, rue Principale",295 000 $,St-Louis,Montérégie (Rive-Sud Montréal),3,1,1,1,1 433 pi² (133.13 m²),35.5x45.5 pi (10.82x13.87 m),"1 856,30 $","357,13 $",,
Chemin des Saules,45 000 $,ND-Du-Laus,Laurentides,,,,,,43 560.00 pi² (1 acre),,,,
"51, rue le Renfort",598 900 $,St-Jean-sur-Richelieu (St-Luc),Montérégie (Rive-Sud Montréal),3,2,1,1,1 520 pi² (141.21 m²),5 400 pi² (501.68 m²),"3 047,27 $","330,72 $","1 850,00 $","1 256,77 $"
"6799-6801, 12e Avenue",879 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,4,3,,,,2 235.66 pi² (207.7 m²),"3 440,42 $","432,24 $","420,69 $","1 800,00 $"
"351, rue Saint-René",315 000 $,Rimouski (Rimouski),Bas-Saint-Laurent,2,1,,1,33.50x32.94 pi (10.21x10.04 m),7 154 pi² (664.63 m²),"2 636,86 $","182,60 $",,
"195, 6e Rang",5 200 000 $,St-Pie-De-Guire,Centre-du-Québec,,,,,,11 316 099.06 pi² (105.13 hectares),,,,
"589, rue Villeneuve",359 000 $,Drummondville (Drummondville),Centre-du-Québec,3,2,,1,1 188 pi² (110.37 m²),5 225 pi² (485.42 m²),"1 930,00 $","145,00 $","2 000,00 $","1 000,00 $"
"21, rue Richelieu",555 000 $,Ste-Brigitte-De-Laval,Québec Rive-Nord,3,2,1,2,2 000 pi² (185.81 m²),8 500 pi² (789.68 m²),"4 414,04 $","360,00 $","2 280,00 $",
"3964, boulevard Gareau",388 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),2,1,,1,1 121 pi² (104.14 m²),,,,,
"357, rue Madeleine-Gleason",415 000 $,Rimouski (Rimouski),Bas-Saint-Laurent,3,2,1,2,1 161.43 pi² (107.9 m²),5 947.06 pi² (552.5 m²),"3 408,57 $","256,58 $","1 657,45 $","1 488,48 $"
"165, chemin du Domaine-Millette",159 000 $,Mont-Tremblant (St-Jovite),Laurentides,,,,,,5 435.77 pi² (505 m²),"841,48 $","58,90 $",,
"838-840, boulevard Louis-XIV",414 900 $,Charlesbourg,Québec Rive-Nord,4,2,,,,8 405.5 pi² (780.9 m²),"3 607,21 $","267,90 $",,"1 850,16 $"
"43, Vallée des Rois",299 000 $,St-Jean-De-Matha,Lanaudière,3,1,,1,1 140 pi² (105.91 m²),32 344 pi² (3 004.86 m²),"1 625,00 $","142,00 $","2 600,00 $",
"8621, boulevard Saint-Jacques",315 000 $,Neufchatel,Québec Rive-Nord,3,1,1,2,1 270.14 pi² (118 m²),,"2 656,00 $","190,00 $","1 950,00 $","456,00 $"
"1745, rue de l'Acropole",540 000 $,St-Émile,Québec Rive-Nord,4,2,1,2,1 568 pi² (145.67 m²),50x150 pi (15.24x45.72 m),"3 965,97 $","353,50 $","2 889,00 $","1 167,39 $"
", montée de l'Église",374 990 $,St-Colomban,Laurentides,,,,,,296 300 pi² (27 527.17 m²),"1 108,89 $","50,00 $",,
"192, rue Alphonse-Lacoursière",539 000 $,Vanier,Québec Rive-Nord,3,1,1,1,2 145 pi² (199.28 m²),6 500 pi² (603.87 m²),"4 470,00 $","400,00 $","2 100,00 $","1 265,00 $"
"895, rue de Maricourt",789 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),3,2,,2,1 548 pi² (143.81 m²),5 880 pi² (546.27 m²),"4 124,00 $","427,00 $","2 160,00 $","1 800,00 $"
"303-1020, boulevard de Palerme",359 000 $,La Prairie,Montérégie (Rive-Sud Montréal),2,1,,1,792 pi² (73.58 m²),,"1 881,95 $","214,68 $","480,00 $",
"1978, boulevard Bastien",387 000 $,Neufchatel,Québec Rive-Nord,3,2,1,2,1 120 pi² (104.05 m²),3 580 pi² (332.59 m²),"2 122,00 $","227,68 $","1 300,00 $","600,00 $"
"104-309, rue Sainte-Catherine",379 000 $,St-Constant,Montérégie (Rive-Sud Montréal),2,1,,1,957 pi² (88.91 m²),1 980 pi² (183.95 m²),"2 182,12 $","211,60 $",,
"32, rue Bédard",449 000 $,Boischatel,Québec Rive-Nord,3,2,1,2,1 643 pi² (152.64 m²),4 921 pi² (457.18 m²),"3 081,37 $",,"3 471,12 $","700,00 $"
"10120, avenue du Patrimoine-Mondial",609 500 $,Lebourgneuf,Québec Rive-Nord,3,2,1,2,1 582 pi² (146.97 m²),6 079 pi² (564.76 m²),"5 140,00 $","459,00 $","1 351,00 $",
"543, rue Neault",699 000 $,St-Maurice,Mauricie,3,2,,1,2 932 pi² (272.39 m²),16 000 pi² (1 486.45 m²),,,,
"3, rue Brière",549 000 $,Danville,Estrie,4,1,1,2,2 016 pi² (187.29 m²),10 526 pi² (977.9 m²),"3 892,00 $","314,00 $","3 678,00 $",
"181, rue du Contour",479 000 $,Orford,Estrie,2,1,1,2,950 pi² (88.26 m²),,"1 660,82 $","167,84 $","1 980,00 $","389,00 $"
"203-1805, boulevard du Tricentenaire",395 000 $,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,3,1,,1,1 187.58 pi² (110.33 m²),,"1 680,98 $","179,84 $","1 200,00 $",
"435, rue Raymond",98 500 $,Degelis,Bas-Saint-Laurent,7,1,1,2,2 323.93 pi² (215.9 m²),40 004.07 pi² (3 716.5 m²),"2 075,00 $","81,09 $",,
"200-857, Gustave-Guertin",459 900 $,Joliette,Lanaudière,2,1,1,1,1 315 pi² (122.17 m²),93.70x60.56 pi (28.56x18.46 m),"4 115,00 $","248,00 $","867,00 $","506,00 $"
"195, impasse Henri",278 000 $,Gatineau (Buckingham),Outaouais,3,1,1,2,1 227.09 pi² (114 m²),4 768.41 pi² (443 m²),"1 979,00 $","424,00 $",,
"1112, RUE BORDELEAU",445 000 $,Trois-Rivières (Cap-De-La-Madeleine),Mauricie,3,2,,2,1 423 pi² (132.2 m²),7 300 pi² (678.19 m²),,,,
"1256, rue du Havre",700 000 $,Mascouche,Lanaudière,4,2,1,2,1 765 pi² (163.97 m²),45x154 pi (13.72x46.94 m),"4 439,84 $","409,37 $",,
"342, rue Antoine-Picard",259 000 $,St-Jean-Port-Joli,Chaudière-Appalaches,2,1,1,1,667 pi² (61.97 m²),4 643.55 pi² (431.4 m²),,,,
"1199, chemin du Rucher",449 999 $,Chertsey,Lanaudière,2,1,,1,832 pi² (77.3 m²),25 530 pi² (2 371.81 m²),,,,
"3-46, rue Marie-Victorin",345 000 $,St-Eustache,Laurentides,2,1,,2,996 pi² (92.53 m²),143 160.01 pi² (13 300 m²),"2 149,16 $","178,12 $","630,00 $",
"19, Marielle-Primeau",567 000 $,Mercier,Montérégie (Rive-Sud Montréal),4,2,,1,1 243 pi² (115.48 m²),3 685.67 pi² (342.41 m²),"2 997,18 $","265,40 $","2 130,96 $",
"2249, rue de la Salamandre",539 000 $,Ste-Marthe-Sur-Le-Lac,Laurentides,4,1,1,2,1 291.67 pi² (120 m²),3 774.90 pi² (350.7 m²),"2 712,00 $","273,00 $","1 560,00 $",
", chemin du Loup",68 800 $,St-Côme-Linière,Chaudière-Appalaches,,,,,,43 055.64 pi² (4 000 m²),,,,
"755, rue de l'Héritage",499 000 $,Trois-Rivières (Pointe-Du-Lac),Mauricie,4,2,,1,1 180.80 pi² (109.7 m²),9 730.58 pi² (904 m²),"4 602,68 $","259,37 $",,
"101-361, rue McDuff","538 377,90 $",Ste-Julie,Montérégie (Rive-Sud Montréal),2,2,,1,1 280 pi² (118.92 m²),,,,,
"201-144, boulevard de Bromont",615 000 $,Bromont,Estrie,3,2,1,2,144.8 pi² (13.45 m²),,"335,03 $","33,03 $","31,17 $",
"905, route 117",239 500 $,Val-David,Laurentides,,,,,,19 300 pi² (1 793.03 m²),,,,
"1170, rue du Bourgeois",435 000 $,St-Rédempteur,Québec Rive-Sud (Lévis),4,2,,1,2 240 pi² (208.1 m²),6 210 pi² (576.93 m²),"3 102,91 $","274,19 $","2 972,16 $",
"1072, rue de Descoudet",569 000 $,Terrebonne (Terrebonne),Lanaudière,3,1,1,3,1 556 pi² (144.56 m²),5 985 pi² (556.02 m²),"3 273,83 $","304,97 $","2 242,03 $",
"6003-6005, rue de la Frontière",695 000 $,Sherbrooke (Rock Forest),Estrie,3,1,,,,7 500.29 pi² (696.8 m²),"3 097,58 $","263,00 $",,"1 375,50 $"
"51, rue Argyll",685 000 $,Sherbrooke (Jacques-Cartier),Estrie,3,2,1,2,1 491.23 pi² (138.54 m²),7 095.57 pi² (659.2 m²),"3 491,25 $","226,06 $",,"1 808,31 $"
"465, rue de la Réserve",595 000 $,St-Lucien,Centre-du-Québec,4,2,,2,1 485 pi² (137.96 m²),264.30x217.45 pi (80.56x66.28 m),"831,00 $","48,00 $","1 493,00 $",
"603, rue Denise-Collette",799 000 $,Ste-Julie,Montérégie (Rive-Sud Montréal),2,3,1,2,1 851 pi² (171.96 m²),,,,,
"402-440, avenue de la Belle-Dame",479 000 $,La Prairie,Montérégie (Rive-Sud Montréal),2,1,,1,1 135 pi² (105.44 m²),75.79x147.87 pi (23.1x45.07 m),"2 211,01 $","264,33 $","504,57 $",
"82, Carré Denise-Pelletier",643 755 $,Terrebonne (Terrebonne),Lanaudière,4,1,1,3,1 600 pi² (148.64 m²),,,,,
"675, avenue Duquesne",419 000 $,St-Hyacinthe (Douville),Montérégie (Rive-Sud Montréal),4,2,,1,976 pi² (90.67 m²),7 000 pi² (650.32 m²),"2 469,94 $","214,64 $","1 874,52 $",
"3-321, rue Saint-Jean-Baptiste",298 000 $,Rimouski (Rimouski),Bas-Saint-Laurent,2,1,1,1,1 000 pi² (92.9 m²),,"2 511,37 $","170,37 $","70,00 $",
"13, rue des Florins",859 000 $,Blainville,Laurentides,4,2,1,2,1 820 pi² (169.08 m²),6 000 pi² (557.42 m²),"3 220,00 $","370,00 $","3 900,00 $","2 000,00 $"
"10355, rue du Muscadet",619 900 $,Mirabel (St-Canut),Laurentides,3,2,1,1,1 217 pi² (113.06 m²),56x100 pi (17.07x30.48 m),"2 321,69 $","354,14 $",,
"6090047, chemin de la Pointe-des-Monts",48 000 $,Baie-Trinite,Côte-Nord,,,,,,50 740 pi² (4 713.9 m²),"386,00 $",,,
"761, Belle Montagne",1 250 000 $,St-Jean-De-Matha,Lanaudière,4,2,1,2,2 400 pi² (222.97 m²),225 000 pi² (20 903.18 m²),,,"2 400,00 $","2 870,00 $"
"6343490, chemin de la Pointe-des-Monts",120 000 $,Baie-Trinite,Côte-Nord,,,,,,645 150 pi² (59 936.4 m²),"386,00 $",,,
"201, rue Provost",419 900 $,St-Michel-Des-Saints,Lanaudière,4,2,,2,1 342.99 pi² (124.77 m²),23 986 pi² (2 228.37 m²),"2 447,83 $","177,77 $","1 780,00 $","1 068,00 $"
"162, rang Sainte-Marie Est",725 000 $,Salaberry-De-Valleyfield,Montérégie (Rive-Sud Montréal),3,1,1,2,2 238.89 pi² (208 m²),24 790.36 pi² (2 303.1 m²),"2 527,06 $","249,65 $","2 396,49 $","1 385,75 $"
"1201, rue des Turquoises",229 000 $,Charlesbourg,Québec Rive-Nord,2,1,1,2,1 001 pi² (93 m²),2 614 pi² (242.85 m²),"1 913,70 $","135,90 $",,
"19, rue des Sommets",55 500 $,St-Severin-De-Beauce,Chaudière-Appalaches,,,,,,27 744 pi² (2 577.5 m²),,,,
"103-4600, rue de la Marquise",199 000 $,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,1,1,1,1,636.15 pi² (59.1 m²),2 654 pi² (246.56 m²),"1 923,87 $","80,59 $","600,00 $","360,00 $"
"785, 9e Avenue",898 700 $,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,7,5,,,,50x92 pi (15.24x28.04 m),"4 823,16 $","520,00 $",,"1 547,80 $"
"1-7070, rue Fabre",850 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,2,1,,2,1 640 pi² (152.36 m²),2 200 pi² (204.39 m²),"4 380,00 $","566,00 $","1 440,00 $","1 040,00 $"
Unité 304 - 7480 Boulevard Taschereau,414 900 $,Brossard,Montérégie (Rive-Sud Montréal),1,1,,1,708 pi² (65.78 m²),,,,,
"427, route 161",219 900 $,Saints-Martyrs-Canadiens,Centre-du-Québec,2,1,,2,1 560 pi² (144.93 m²),375x200 pi (114.30x60.96 m),"1 100,00 $","44,00 $",,
"38, rue de la Grande-Place",450 000 $,Victoriaville,Centre-du-Québec,2,2,1,2,1 945 pi² (180.7 m²),6 402 pi² (594.77 m²),"4 200,00 $","365,00 $",,
"64, impasse de la Coulée",719 000 $,Cantley,Outaouais,4,2,,2,1 870 pi² (173.73 m²),44 431.20 pi² (1.02 acre),"4 253,00 $","403,00 $",,
"5809923, chemin du Lac-Kiamika",125 000 $,Rivière-Rouge (Ste-Véronique),Laurentides,,,,,,43 584 pi² (4 049.09 m²),"732,45 $","21,44 $",,
"1690, rue des Hérons",415 000 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,4,2,,1,1 200 pi² (111.48 m²),60x100 pi (18.29x30.48 m),"3 612,00 $","219,00 $","2 782,00 $",
"1385, rue de la Trinité",358 500 $,Limoilou,Québec Rive-Nord,3,1,,1,,3 000 pi² (278.71 m²),"2 759,00 $","216,00 $","1 560,00 $",
"83, rue Daguerre",360 000 $,Candiac,Montérégie (Rive-Sud Montréal),2,1,,1,888.02 pi² (82.5 m²),,"1 949,82 $","170,65 $","768,00 $",
